YEAR,VISIT_NO,PHSTVL,CL,NO3,LAT_DD,LON_DD,URB_NLCD,AG_NLCD,FOR_NLCD
1994,1,7.16,182,392,40.71003889,76.0114,0.045626,38.175334,60.562307
1994,1,8.5,289,296,40.34150278,76.0251,2.558551,71.064855,25.546092
1994,1,8.01,472,298,40.33852778,76.0234,7.652557,41.680336,49.553755
1994,1,7.66,130,14.9,41.91213333,77.6032,0.300777,33.342958,66.000064
1994,1,7.24,48,3.3,41.77783056,76.9325,0,62.610034,37.278732
1994,1,6.58,30,3.7,41.72328333,77.1654,0,5.525129,94.310236
1994,1,7.78,178,3,41.97834167,76.9454,0.046391,52.223674,47.372684
1994,1,7.28,45,19.7,41.83648889,76.2993,0,23.16497,76.675908
1994,1,7.03,112,9.8,41.79615,75.8634,0.289037,40.496987,55.854102
1994,1,5.18,751,96,40.99961944,76.1765,10.173907,5.314979,67.885578
1994,1,7.18,598,49,41.26011389,75.907,87.483777,4.24003,7.321036
1994,1,5.95,29,44.5,41.27811111,76.3676,0.01445,1.10032,96.948376
1994,1,7.26,263,129,41.11865833,76.3595,0.051958,52.086153,47.757977
1994,1,7,82,10,41.16608611,76.1621,0.383806,15.696376,82.982009
1994,1,7.21,466,65,40.5075,78.5907,4.014558,25.257824,69.138418
1994,1,5.1,67,0,41.03669722,78.5316,0.092261,0.806731,98.511702
1994,1,7.99,253,183,41.086725,77.47,0.967794,30.147115,68.476982
1994,1,7.61,378,179,41.08533611,77.4653,1.559798,33.925185,64.393769
1994,1,6.95,21,2,41.56355833,77.6308,0,0,100
1994,1,7.18,261,16.6,41.84985556,77.809,0,17.213909,82.786092
1994,1,7.3,70,40.5,41.34696389,77.197,0.094068,25.63524,74.207844
1994,1,6.66,67,53,41.22548333,76.5826,0,65.66002,34.008594
1994,1,6.66,18,36.5,41.48318056,76.7541,0.009443,0.509317,96.785343
1994,1,6.99,167,23.7,41.59504167,76.9837,0.013854,20.085368,79.824583
1994,1,7,37,8.7,41.32546944,76.7872,0,2.72716,97.090715
1994,1,7.74,72,83,40.85658889,77.0572,0.481998,30.119633,66.634031
1994,1,7.98,124,125,40.88545278,77.4727,0.236647,30.511223,68.544092
1994,1,7.34,187,182,40.77588611,76.8439,0.022963,48.082113,51.619374
1994,1,7.19,235,360,40.66962222,76.6334,0.512084,54.753125,43.638358
1994,1,7.11,52,15,40.57638056,78.3781,0.261912,4.493704,95.176196
1994,1,8.06,278,461,40.20081667,78.3772,0.291497,70.547381,28.222417
1994,1,6.56,28,38,40.29811389,78.6051,0,0.266169,99.733831
1994,1,7.01,54,5,40.71509167,77.492,0.00384,2.94266,96.185436
1994,1,6.82,174,34,40.49408889,77.0783,0.06279,16.56671,83.234301
1994,1,7.71,44,33,40.25530556,77.7496,0.008231,21.078307,78.628122
1994,1,7.99,154,93,40.193825,77.9636,0.425602,18.755468,80.690674
1994,1,6.14,36,33.5,40.0868,78.1826,0.067157,2.188041,92.925265
1994,1,6.55,26,1,40.46398611,76.6523,0,0.442387,97.291345
1994,1,6.62,28,5,40.3888,76.8742,0.003384,0.844791,98.469924
1994,1,7.07,32,19,40.17656944,77.5481,0.080835,17.052934,82.730843
1994,1,7.16,91,37,39.86022222,78.8267,0.034056,14.534229,84.726618
1994,1,7.06,33,11,39.74461667,78.6252,0,3.713851,96.168068
1994,1,6.96,26,4,39.81201944,77.9946,0,4.820231,95.179768
1994,1,6.54,82,30.1,41.46101944,79.3571,0.13803,7.176705,91.21114
1994,1,6.39,22,6.2,41.43973333,78.9543,0.099437,1.580631,97.940606
1994,1,4,115,38,41.25590278,79.3692,0.546152,18.260005,79.714665
1994,1,4.63,15,12.4,41.59958056,78.4772,0.069973,3.148004,96.669491
1994,1,5.95,73,13.6,41.35461667,79.1763,0.040196,5.50369,94.448075
1994,1,7.46,115,104,40.58463333,78.8042,0.44319,36.636763,62.471577
1994,1,6.15,165,11,40.14839444,79.0395,0.184587,29.014131,65.670285
1994,1,7.51,603,140,40.06397778,79.2361,0.722051,2.863899,87.167316
1994,1,3,92,89,39.76940556,79.0658,0.723091,65.949301,30.690488
1994,1,7.15,68,11,41.98639722,78.9134,0.185954,0.649783,99.1374
1994,1,7.45,124,9,41.5613,75.2457,0.494786,21.035976,74.602285
1994,1,7.51,146,21.1,41.9077,75.8454,0.781769,30.848751,66.542066
1994,1,7.31,212,4,40.887,78.7761,0.56098,23.381451,73.118874
1994,1,6.91,47,2.5,41.3064,78.0897,0,0.225394,99.420879
1994,1,6.58,15,7.1,41.3953,77.8733,0,0,94.391929
1994,1,6.68,19,5.6,40.9965,77.4574,0,2.960797,97.039202
1994,1,7.03,17,62,41.7424,77.8404,0,0.189636,97.905557
1994,1,6.61,35,39.6,41.4094,76.7913,0,0.110929,99.889071
1994,1,7,50,7,40.4752,77.9389,0,3.511745,91.339874
1994,1,6.94,40,20.8,41.7596,78.256,0.305584,5.063503,93.950455
1994,1,5.4,21,15.6,41.6372,79.1407,0,0.02078,99.502748
1994,1,6.21,55,9.4,41.2701,79.1837,0,12.3752,87.6248
1994,1,6.08,39,30,39.8987,79.4628,0.006285,5.416615,94.564529
1993,1,7.66,346,703.1,39.91111,77.61667,1.452471,93.496919,5.003226
1993,1,7.67,241,191.7,40.86472,77.60833,0.021796,40.497317,57.523188
1993,1,7.24,2527,34.2,40.05639,78.04778,5.324184,27.103845,66.663273
1993,1,7.25,84,14.7,41.13333,76.57417,0,12.303804,87.696195
